web-scraper-order,web-scraper-start-url,Party,Won,Leading,Total
"1719805075-1","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharatiya Janata Party - BJP","240","0","240"
"1719805075-2","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Indian National Congress - INC","99","0","99"
"1719805075-3","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Samajwadi Party - SP","37","0","37"
"1719805075-4","https://results.eci.gov.in/PcResultGenJune2024/index.htm","All India Trinamool Congress - AITC","29","0","29"
"1719805075-5","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Dravida Munnetra Kazhagam - DMK","22","0","22"
"1719805075-6","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Telugu Desam - TDP","16","0","16"
"1719805075-7","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Janata Dal  (United) - JD(U)","12","0","12"
"1719805075-8","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT","9","0","9"
"1719805075-9","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Nationalist Congress Party – Sharadchandra Pawar - NCPSP","8","0","8"
"1719805075-10","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Shiv Sena - SHS","7","0","7"
"1719805075-11","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Lok Janshakti Party(Ram Vilas) - LJPRV","5","0","5"
"1719805075-12","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Yuvajana Sramika Rythu Congress Party - YSRCP","4","0","4"
"1719805075-13","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Rashtriya Janata Dal - RJD","4","0","4"
"1719805075-14","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Communist Party of India  (Marxist) - CPI(M)","4","0","4"
"1719805075-15","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Indian Union Muslim League - IUML","3","0","3"
"1719805075-16","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Aam Aadmi Party - AAAP","3","0","3"
"1719805075-17","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Jharkhand Mukti Morcha - JMM","3","0","3"
"1719805075-18","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Janasena Party - JnP","2","0","2"
"1719805075-19","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L)","2","0","2"
"1719805075-20","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Janata Dal  (Secular) - JD(S)","2","0","2"
"1719805075-21","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Viduthalai Chiruthaigal Katchi - VCK","2","0","2"
"1719805075-22","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Communist Party of India - CPI","2","0","2"
"1719805075-23","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Rashtriya Lok Dal - RLD","2","0","2"
"1719805075-24","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Jammu & Kashmir National Conference - JKN","2","0","2"
"1719805075-25","https://results.eci.gov.in/PcResultGenJune2024/index.htm","United People’s Party, Liberal - UPPL","1","0","1"
"1719805075-26","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Asom Gana Parishad - AGP","1","0","1"
"1719805075-27","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Hindustani Awam Morcha (Secular) - HAMS","1","0","1"
"1719805075-28","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Kerala Congress - KEC","1","0","1"
"1719805075-29","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Revolutionary Socialist Party - RSP","1","0","1"
"1719805075-30","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Nationalist Congress Party - NCP","1","0","1"
"1719805075-31","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Voice of the People Party - VOTPP","1","0","1"
"1719805075-32","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Zoram People’s Movement - ZPM","1","0","1"
"1719805075-33","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Shiromani Akali Dal - SAD","1","0","1"
"1719805075-34","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Rashtriya Loktantrik Party - RLTP","1","0","1"
"1719805075-35","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Bharat Adivasi Party - BHRTADVSIP","1","0","1"
"1719805075-36","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Sikkim Krantikari Morcha - SKM","1","0","1"
"1719805075-37","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Marumalarchi Dravida Munnetra Kazhagam - MDMK","1","0","1"
"1719805075-38","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Aazad Samaj Party (Kanshi Ram) - ASPKR","1","0","1"
"1719805075-39","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Apna Dal (Soneylal) - ADAL","1","0","1"
"1719805075-40","https://results.eci.gov.in/PcResultGenJune2024/index.htm","AJSU Party - AJSUP","1","0","1"
"1719805075-41","https://results.eci.gov.in/PcResultGenJune2024/index.htm","All India Majlis-E-Ittehadul Muslimeen - AIMIM","1","0","1"
"1719805075-42","https://results.eci.gov.in/PcResultGenJune2024/index.htm","Independent - IND","7","0","7"
